"Company","Item","Calories","Total.Fat..g.","Saturated.Fat..g.","Carbs..g.","Fiber..g.","Sugars..g.","Protein..g.","Salt.g","Category"
"McDonald’s","Strawberry Triple Thick® Shake (16 fl oz cup)",560,13,8,97,0,84,13,0.425,"Shakes"
"McDonald’s","Strawberry Triple Thick® Shake (21 fl oz cup)",740,18,11,128,0,111,17,0.575,"Shakes"
"McDonald’s","Strawberry Triple Thick® Shake (32 fl oz cup)",1110,26,16,194,0,168,25,0.875,"Shakes"
"McDonald’s","Vanilla McCafé® Shake (12 fl oz cup)",540,16,10,88,0,64,10,0.425,"Shakes"
"McDonald’s","Vanilla McCafé® Shake (16 fl oz cup)",680,20,12,111,0,82,14,0.55,"Shakes"
"McDonald’s","Vanilla McCafé® Shake (22 fl oz cup)",830,24,14,138,0,103,17,0.675,"Shakes"
"McDonald’s","Vanilla Triple Thick Shake® (32 fl oz cup)",1110,26,16,193,0,145,25,0.925,"Shakes"
"McDonald’s","Vanilla Triple Thick® Shake (12 fl oz cup)",420,10,6,72,0,54,9,0.35,"Shakes"
"McDonald’s","Vanilla Triple Thick® Shake (16 fl oz cup)",550,13,8,96,0,72,13,0.475,"Shakes"
"McDonald’s","Vanilla Triple Thick® Shake (21 fl oz cup)",740,18,11,128,0,96,17,0.625,"Shakes"
"McDonald’s","1% Low Fat Milk Jug",100,2.5,1.5,12,0,12,8,0.3125,"Milk"
"McDonald’s","1% Low Fat Chocolate Milk Jug",170,3,1.5,26,1,25,9,0.375,"Milk"
"McDonald’s","Minute Maid® 100% Apple Juice Box",100,0,0,23,0,22,0,0.0375,"Juice"
"McDonald’s","Dasani® Water",0,0,0,0,0,0,0,0,"Water"
"McDonald’s","Minute Maid® Orange Juice (Small)",150,0,0,30,0,30,2,0,"Juice"
"McDonald’s","Minute Maid® Orange Juice (Medium)",190,0,0,39,0,39,3,0,"Juice"
"McDonald’s","Minute Maid® Orange Juice (Large)",280,0,0,58,0,58,4,0.0125,"Juice"
"McDonald’s","Coca-Cola® Classic (Child)",110,0,0,29,0,29,0,0.0125,"Sweet_Drinks"
"McDonald’s","Coca-Cola® Classic (Small)",150,0,0,40,0,40,0,0.025,"Sweet_Drinks"
"McDonald’s","Coca-Cola® Classic (Medium)",210,0,0,58,0,58,0,0.0375,"Sweet_Drinks"
"McDonald’s","Coca-Cola® Classic (Large)",310,0,0,86,0,86,0,0.05,"Sweet_Drinks"
"McDonald’s","Diet Coke® (Child)",0,0,0,0,0,0,0,0.0375,"Sweet_Drinks"
"McDonald’s","Diet Coke® (Small)",0,0,0,0,0,0,0,0.05,"Sweet_Drinks"
"McDonald’s","Diet Coke® (Medium)",0,0,0,0,0,0,0,0.075,"Sweet_Drinks"
"McDonald’s","Diet Coke® (Large)",0,0,0,0,0,0,0,0.1125,"Sweet_Drinks"
