"Company","Item","Energy..kcal.day.","Fat..g.day.","Saturated.fat..g.day.","Salt..g.day.","Carbohydrate..g.day.","Fibre..g.day..","Free.sugars..g.day.","Protein..g.day."
"McDonald’s","Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small)",50,0,0,0.25,15,0,8,5
"McDonald’s","Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium)",70,0,0,0.325,19,0,10,7
"McDonald’s","Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large)",80,0,0,0.375,22,0,11,8
"McDonald’s","Nonfat Latte with Sugar Free Vanilla Syrup (Small)",80,0,0,0.325,18,0,11,7
"McDonald’s","Nonfat Latte with Sugar Free Vanilla Syrup (Medium)",90,0,0,0.4,22,0,13,9
"McDonald’s","Nonfat Latte with Sugar Free Vanilla Syrup (Large)",110,0,0,0.475,27,0,15,11
"McDonald’s","Mocha with Nonfat Milk (Small)",240,5,3,0.325,41,0,34,7
"McDonald’s","Mocha with Nonfat Milk (Medium)",280,6,3.5,0.4,50,0,42,8
"McDonald’s","Mocha with Nonfat Milk (Large)",330,6,3.5,0.475,58,0,50,10
"McDonald’s","Hot Chocolate with Nonfat Milk (Small)",250,5,3,0.35,43,0,37,8
"McDonald’s","Hot Chocolate with Nonfat Milk (Medium)",310,6,3.5,0.475,55,0,47,11
"McDonald’s","Hot Chocolate with Nonfat Milk (Large)",390,6,3.5,0.625,68,0,59,16
"McDonald’s","Iced Nonfat Latte (Small)",50,0,0,0.175,7,0,7,5
"McDonald’s","Iced Nonfat Latte (Medium)",60,0,0,0.225,9,0,9,6
"McDonald’s","Iced Nonfat Latte (Large)",70,0,0,0.2625,11,0,11,7
"McDonald’s","Iced Nonfat Caramel Latte (Small)",140,0,0,0.2625,30,0,30,3
"McDonald’s","Iced Nonfat Caramel Latte (Medium)",150,0,0,0.3,32,0,32,5
"McDonald’s","Iced Nonfat Caramel Latte (Large)",190,0,0,0.375,40,0,40,6
"McDonald’s","Iced Nonfat Hazelnut Latte (Small)",140,0,0,0.125,32,0,32,3
"McDonald’s","Iced Nonfat Hazelnut Latte (Medium)",150,0,0,0.175,33,0,33,5
"McDonald’s","Iced Nonfat Hazelnut Latte (Large)",190,0,0,0.2,42,0,42,6
"McDonald’s","Iced Nonfat Vanilla Latte (Small)",140,0,0,0.125,31,0,31,3
"McDonald’s","Iced Nonfat Vanilla Latte (Medium)",150,0,0,0.175,33,0,33,5
"McDonald’s","Iced Nonfat Vanilla Latte (Large)",190,0,0,0.2125,41,0,41,6
"McDonald’s","Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small)",40,0,0,0.2125,13,0,5,4
"McDonald’s","Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium)",50,0,0,0.25,14,0,6,5
"McDonald’s","Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large)",60,0,0,0.325,19,0,8,6
"McDonald’s","Iced Mocha with Nonfat Milk (Medium)",270,8,4.5,0.35,43,0,35,7
"McDonald’s","Iced Nonfat Caramel Mocha (Large)",300,6,4,0.575,49,0,45,11
"McDonald’s","Iced Nonfat Caramel Mocha (Medium)",240,6,4,0.475,37,0,34,9
"McDonald’s","Iced Nonfat Caramel Mocha (Small)",200,6,4,0.35,29,0,26,6
"McDonald’s","Nonfat Caramel Mocha (Large)",280,4,2.5,0.65,49,0,46,12
"McDonald’s","Nonfat Caramel Mocha (Medium)",240,4,2.5,0.5,41,0,38,9
"McDonald’s","Nonfat Caramel Mocha (Small)",200,4,2.5,0.425,34,0,31,8
"McDonald’s","Cappuccino (Small)",120,7,4,0.2125,9,0,9,6
"McDonald’s","Cappuccino (Medium)",140,8,4.5,0.2625,11,0,11,8
"McDonald’s","Cappuccino (Large)",180,10,6,0.325,13,0,13,9
"McDonald’s","Latte (Small) ",150,8,4.5,0.2625,11,0,11,8
"McDonald’s","Latte (Medium)",180,10,6,0.325,13,0,13,10
"McDonald’s","Latte (Large)",210,11,7,0.375,16,0,16,11
"McDonald’s","Caramel Cappuccino (Small)",200,5,3,0.3125,32,0,32,5
"McDonald’s","Caramel Cappuccino (Medium)",240,6,3.5,0.375,41,0,40,6
"McDonald’s","Caramel Cappuccino (Large)",290,8,4.5,0.475,49,0,49,8
"McDonald’s","Caramel Latte (Small)",230,7,4,0.35,35,0,35,7
"McDonald’s","Caramel Latte (Medium)",280,8,4.5,0.425,43,0,43,8
"McDonald’s","Caramel Latte (Large)",330,9,5,0.525,52,0,51,9
"McDonald’s","Hazelnut Cappuccino (Small)",200,5,3,0.175,34,0,34,5
"McDonald’s","Hazelnut Cappuccino (Medium)",240,6,3.5,0.2125,42,0,42,6
"McDonald’s","Hazelnut Cappuccino (Large)",290,8,4.5,0.2625,51,0,51,7
"McDonald’s","Hazelnut Latte (Small)",230,7,4,0.225,36,0,36,7
"McDonald’s","Hazelnut Latte (Medium)",280,8,4.5,0.275,45,0,45,8
"McDonald’s","Hazelnut Latte (Large)",330,9,5,0.325,53,0,53,9
"McDonald’s","Vanilla Cappuccino (Small)",200,5,3,0.175,34,0,34,5
"McDonald’s","Vanilla Cappuccino (Medium)",240,6,3.5,0.2125,42,0,42,6
"McDonald’s","Vanilla Cappuccino (Large)",290,8,4.5,0.2625,51,0,51,7
"McDonald’s","Vanilla Latte (Small)",230,7,4,0.225,36,0,36,7
"McDonald’s","Vanilla Latte (Medium)",280,8,4.5,0.275,44,0,44,8
"McDonald’s","Vanilla Latte (Large)",330,9,5,0.325,53,0,53,9
"McDonald’s","Cappuccino with Sugar Free Vanilla Syrup (Small)",100,5,3,0.2625,15,0,7,5
"McDonald’s","Cappuccino with Sugar Free Vanilla Syrup (Medium)",120,6,3.5,0.325,18,0,9,6
"McDonald’s","Cappuccino with Sugar Free Vanilla Syrup (Large)",150,8,4.5,0.4,22,0,11,8
"McDonald’s","Latte with Sugar Free Vanilla Syrup (Small)",130,7,4,0.3125,17,0,10,7
"McDonald’s","Latte with Sugar Free Vanilla Syrup (Medium)",160,8,5,0.375,21,0,11,8
"McDonald’s","Latte with Sugar Free Vanilla Syrup (Large)",180,10,6,0.45,25,0,13,10
"McDonald’s","Mocha (Small)",280,11,6,0.3125,40,0,33,6
"McDonald’s","Mocha (Medium)",330,12,7,0.375,48,0,41,7
"McDonald’s","Mocha (Large)",400,14,8,0.475,58,0,49,10
"McDonald’s","Hot Chocolate (Small)",300,12,7,0.3375,41,0,35,8
"McDonald’s","Hot Chocolate (Medium)",380,15,9,0.425,53,0,45,10
"McDonald’s","Hot Chocolate (Large)",460,18,10,0.55,63,0,54,13
"McDonald’s","Iced Latte (Small)",80,4.5,2.5,0.1625,6,0,6,4
"McDonald’s","Iced Latte (Medium)",100,6,3.5,0.2,8,0,8,6
"McDonald’s","Iced Latte (Large)",140,8,4.5,0.2625,10,0,10,7
"McDonald’s","Iced Caramel Latte (Small)",160,3,1.5,0.25,29,0,29,3
"McDonald’s","Iced Caramel Latte (Medium)",180,4.5,2.5,0.3,31,0,31,4
"McDonald’s","Iced Caramel Latte (Large)",230,6,3.5,0.375,40,0,40,6
"McDonald’s","Iced Hazelnut Latte (Small)",160,3,1.5,0.1125,31,0,31,3
"McDonald’s","Iced Hazelnut Latte (Medium)",180,4.5,2.5,0.1625,33,0,33,4
"McDonald’s","Iced Hazelnut Latte (Large)",230,6,3.5,0.2125,41,0,41,6
"McDonald’s","Iced Vanilla Latte (Small)",160,3,1.5,0.1125,31,0,31,3
